Form Type,Company Name,CIK,Date Filed,File Name
NPORT-P,180 DEGREE CAPITAL CORP. /NY/,893739,2024-11-14,edgar/data/893739/0001398344-24-020860.txt
NPORT-P,2023 ETF Series Trust,1969674,2024-11-22,edgar/data/1969674/0001752724-24-263190.txt
NPORT-P,2023 ETF Series Trust,1969674,2024-11-22,edgar/data/1969674/0001752724-24-263193.txt
NPORT-P,2023 ETF Series Trust,1969674,2024-11-22,edgar/data/1969674/0001752724-24-263195.txt
NPORT-P,2023 ETF Series Trust,1969674,2024-11-22,edgar/data/1969674/0001752724-24-263204.txt
NPORT-P,2023 ETF Series Trust II,1981627,2024-11-18,edgar/data/1981627/0001752724-24-254068.txt
NPORT-P,360 Funds,1319067,2024-10-25,edgar/data/1319067/0002000324-24-003043.txt
NPORT-P,360 Funds,1319067,2024-10-25,edgar/data/1319067/0002000324-24-003046.txt
NPORT-P,360 Funds,1319067,2024-10-25,edgar/data/1319067/0002000324-24-003049.txt
NPORT-P,360 Funds,1319067,2024-11-26,edgar/data/1319067/0002000324-24-003211.txt
NPORT-P,360 Funds,1319067,2024-11-26,edgar/data/1319067/0002000324-24-003214.txt
NPORT-P,360 Funds,1319067,2024-11-29,edgar/data/1319067/0002000324-24-003408.txt
NPORT-P,360 Funds,1319067,2024-11-29,edgar/data/1319067/0002000324-24-003411.txt
NPORT-P,A&Q Long/Short Strategies Fund LLC,1186641,2024-11-26,edgar/data/1186641/0001145549-24-075249.txt
NPORT-P,A&Q Multi-Strategy Fund,1506707,2024-11-26,edgar/data/1506707/0001145549-24-075250.txt
NPORT-P,A&Q Technology Fund LLC,1186643,2024-11-26,edgar/data/1186643/0001145549-24-075248.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235881.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235885.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235888.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235889.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235890.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235894.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235896.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235903.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235904.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235905.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235907.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235909.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235910.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235916.txt
NPORT-P,"AB Active ETFs, Inc.",1496608,2024-10-24,edgar/data/1496608/0001752724-24-235918.txt
NPORT-P,"AB CAP FUND, INC.",81443,2024-10-24,edgar/data/81443/0001752724-24-235895.txt
NPORT-P,"AB CAP FUND, INC.",81443,2024-10-24,edgar/data/81443/0001752724-24-235899.txt
NPORT-P,"AB CAP FUND, INC.",81443,2024-10-24,edgar/data/81443/0001752724-24-235938.txt
NPORT-P,"AB CAP FUND, INC.",81443,2024-11-25,edgar/data/81443/0001752724-24-266510.txt
NPORT-P,"AB CAP FUND, INC.",81443,2024-11-25,edgar/data/81443/0001752724-24-266511.txt
NPORT-P,"AB CAP FUND, INC.",81443,2024-11-25,edgar/data/81443/0001752724-24-266514.txt
