cik,name,reportingDate,filingDate,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,putCall,investmentDiscretion,otherManager,Sole,Shared,None
1463559,Alberta Investment Management Corp,20231231,20240212,WOLFSPEED INC,COM,977852102,695072,15975,SH,,SOLE,,15975,0,0
1484972,"HAP Trading, LLC",20240930,20241112,WOLFSPEED INC,COM,977852102,395471,215200,SH,Call,SOLE,,215200,0,0
1484972,"HAP Trading, LLC",20240930,20241112,WOLFSPEED INC,COM,977852102,2884220,419100,SH,Put,SOLE,,419100,0,0
933429,"UMB Bank, n.a.",20240630,20240729,Wolfspeed Inc,COM,977852102,1753,77,SH,,SOLE,NONE,0,0,77
312069,BARCLAYS PLC,20240630,20240814,WOLFSPEED INC,COM,977852102,12806,562649,SH,,SOLE,1,562649,0,0
312069,BARCLAYS PLC,20240630,20240814,WOLFSPEED INC,BOND,977852AB8,415,698000,PRN,,SOLE,8,0,0,698000
312069,BARCLAYS PLC,20240630,20240814,WOLFSPEED INC,COM,977852102,41,1807,SH,,SOLE,8,1807,0,0
312069,BARCLAYS PLC,20240630,20240814,WOLFSPEED INC,BOND,225447AD3,2,2000,PRN,,SOLE,8,0,0,2000
312069,BARCLAYS PLC,20240630,20240814,WOLFSPEED INC,COM,977852102,48,2121,SH,,SOLE,9,2121,0,0
1456228,DekaBank Deutsche Girozentrale,20240930,20241024,WOLFSPEED INC,COM,977852102,722,72690,SH,,DFND,1,72690,0,0
1125816,FIRST TRUST ADVISORS LP,20240930,20241113,WOLFSPEED INC,COM,977852102,4421230,455797,SH,,SOLE,,455797,0,0
1415912,Migdal Insurance & Financial Holdings Ltd.,20240630,20240729,WOLFSPEED INC COM,Common Stock,977852102,75,3227,SH,,DFND,",4",3227,0,0
1125816,FIRST TRUST ADVISORS LP,20240630,20240813,WOLFSPEED INC,COM,977852102,10338616,454245,SH,,SOLE,,454245,0,0
1803081,"Moser Wealth Advisors, LLC",20240630,20240807,WOLFSPEED INC,COM,977852102,39261,1725,SH,,SOLE,,0,0,0
763212,PRIMECAP MANAGEMENT CO/CA/,20240331,20240514,WOLFSPEED INC,COM,977852102,154720715,5244770,SH,,SOLE,,4891710,0,353060
1647273,Perpetual Ltd,20231231,20240215,WOLFSPEED INC,COM,977852102,1002601,23043,SH,,SOLE,1,23043,0,0
1647273,Perpetual Ltd,20240331,20240410,WOLFSPEED INC,COM,977852102,1001529,35043,SH,,SOLE,1,35043,0,0
1450144,"TWO SIGMA SECURITIES, LLC",20240630,20240814,WOLFSPEED INC,COM,977852102,209392,9200,SH,Put,SOLE,,9200,0,0
1450144,"TWO SIGMA SECURITIES, LLC",20240630,20240814,WOLFSPEED INC,COM,977852102,225711,9917,SH,,SOLE,,9917,0,0
1215838,JUPITER ASSET MANAGEMENT LTD,20231231,20240209,WOLFSPEED INC,NOTE  1.750% 5/0,225447AD3,1373616,1200000,PRN,,SOLE,,1200000,0,0
1802136,"Investment Research & Advisory Group, Inc.",20240630,20240730,WOLFSPEED INC,COM,977852102,1502,66,SH,,SOLE,,0,0,66
314969,NEW YORK STATE TEACHERS RETIREMENT SYSTEM,20240331,20240425,WOLFSPEED INC,COM,977852102,4233,143499,SH,,SOLE,,143499,0,0
1456228,DekaBank Deutsche Girozentrale,20231231,20240124,WOLFSPEED INC,COM,977852102,2704,60000,SH,,DFND,1,60000,0,0
1370102,"State of Alaska, Department of Revenue",20240930,20241024,WOLFSPEED INC,COM,977852102,696,71819,SH,,SOLE,,71819,0,0
1415912,Migdal Insurance & Financial Holdings Ltd.,20231231,20240131,WOLFSPEED INC COM,Common Stock,977852102,94,2064,SH,,DFND,",4",2064,0,0
314969,NEW YORK STATE TEACHERS RETIREMENT SYSTEM,20240630,20240724,WOLFSPEED INC,COM,977852102,3264,143399,SH,,SOLE,,143399,0,0
1407543,ENVESTNET ASSET MANAGEMENT INC,20240630,20240808,WOLFSPEED INC,COM,977852102,3289815,144544,SH,,SOLE,,144544,0,0
1910417,Corton Capital Inc.,20240630,20240814,WOLFSPEED INC,COM,977852102,255390,11221,SH,,SOLE,,11221,0,0
1125816,FIRST TRUST ADVISORS LP,20231231,20240213,WOLFSPEED INC,COM,977852102,27508414,632232,SH,,SOLE,,632232,0,0
1719165,Capital Markets Trading UK LLP,20240930,20241114,WOLFSPEED INC,CALL,977852902,1052,108500,SH,Call,DFND,1,108500,0,0
1719165,Capital Markets Trading UK LLP,20240930,20241114,WOLFSPEED INC,PUT,977852952,671,69200,SH,Put,DFND,1,69200,0,0
1370102,"State of Alaska, Department of Revenue",20231231,20240119,WOLFSPEED INC,COM,977852102,588,13537,SH,,SOLE,,13537,0,0
1283072,GUGGENHEIM CAPITAL LLC,20240331,20240514,WOLFSPEED INC,COM,977852102,4447125,150750,SH,,DFND,2,0,150750,0
1719165,Capital Markets Trading UK LLP,20240331,20240515,WOLFSPEED INC,CALL,977852902,4145,140500,SH,Call,DFND,1,140500,0,0
1719165,Capital Markets Trading UK LLP,20240331,20240515,WOLFSPEED INC,PUT,977852952,4130,140000,SH,Put,DFND,1,140000,0,0
1362033,GSA CAPITAL PARTNERS LLP,20240331,20240503,WOLFSPEED INC,COM,977852102,215,7299,SH,,SOLE,,7299,0,0
1362033,GSA CAPITAL PARTNERS LLP,20240630,20240815,WOLFSPEED INC,COM,977852102,407,17872,SH,,SOLE,,17872,0,0
1903055,Snowden Capital Advisors LLC,20190930,20240108,CREE INC,COM,225447101,14406,29400,SH,,SOLE,,29400,0,0
728100,"LORD, ABBETT & CO. LLC",20240331,20240509,Wolfspeed Inc,CV,225447AD3,1517,1578000,SH,,SOLE,,1578000,0,0
1056527,CIBC WORLD MARKETS CORP,20231231,20240213,WOLFSPEED INC COM,COM,977852102,34808000,800000,SH,,SOLE,,800000,0,0
763212,PRIMECAP MANAGEMENT CO/CA/,20240630,20240809,WOLFSPEED INC,COM,977852102,137591256,6045310,SH,,SOLE,,5686390,0,358920
1126395,EASTERN BANK,20240930,20241021,Wolfspeed Inc,COM,977852102,27354,2820,SH,,SOLE,NONE,2820,0,0
1844201,"Opal Wealth Advisors, LLC",20240331,20240411,WOLFSPEED INC,COM,977852102,443,15,SH,,SOLE,,0,0,15
933429,"UMB Bank, n.a.",20240930,20241009,Wolfspeed Inc,COM,977852102,5180,534,SH,,SOLE,NONE,296,0,238
1084208,RAYMOND JAMES & ASSOCIATES,20240331,20240422,WOLFSPEED INC,COM,977852102,2826660,95819,SH,,SOLE,,79125,0,16694
1084208,RAYMOND JAMES & ASSOCIATES,20240930,20241018,WOLFSPEED INC,COM,977852102,168460,17367,SH,,SOLE,,0,0,17367
1784450,"Marcum Wealth, LLC",20231231,20240110,WOLFSPEED INC,NOTE 1.875%12/0,977852AD4,6769,10000,PRN,,SOLE,0,0,0,10000
1784450,"Marcum Wealth, LLC",20231231,20240110,WOLFSPEED INC,NOTE 0.250% 2/1,977852AB8,8082,12000,PRN,,SOLE,0,0,0,12000
1125816,FIRST TRUST ADVISORS LP,20240331,20240513,WOLFSPEED INC,COM,977852102,14974436,507608,SH,,SOLE,,507608,0,0
1903055,Snowden Capital Advisors LLC,20191231,20240108,CREE INC,COM,225447101,13568,29400,SH,,SOLE,,29400,0,0
1586767,"SRS Capital Advisors, Inc.",20231231,20240206,WOLFSPEED INC,COM,977852102,1915,44,SH,,SOLE,SRS Capital Advisors,0,0,44
1761054,Treasurer of the State of North Carolina,20240630,20240814,WOLFSPEED INC,COM,977852102,1233,54159,SH,,SOLE,,54159,0,0
1021258,BALDWIN BROTHERS LLC/MA,20240331,20240412,WOLFSPEED INC,COM,977852102,20650,700,SH,,SOLE,,700,0,0
1215838,JUPITER ASSET MANAGEMENT LTD,20240331,20240510,WOLFSPEED INC,NOTE  1.750% 5/0,225447AD3,1137104,1200000,PRN,,SOLE,,1200000,0,0
1081407,GABELLI FUNDS LLC,20240331,20240514,WOLFSPEED INC 1.875 12/01/29 CVT,BOND CONVERTIBLE,977852AD4,5391725,9500000,PRN,,SOLE,,9500000,0,0
1629996,Alken Asset Management Ltd,20240331,20240508,Wolfspeed 0.250 15-Fe,US DOMESTIC,977852AB8,897,1550,PRN,,SOLE,,0,150,1400
933429,"UMB Bank, n.a.",20240331,20240426,Wolfspeed Inc,COM,977852102,1092,37,SH,,SOLE,NONE,19,0,18
1853322,DARK FOREST CAPITAL MANAGEMENT LP,20240630,20240814,WOLFSPEED INC,COM,977852102,680865,29915,SH,,SOLE,,29915,0,0
1586767,"SRS Capital Advisors, Inc.",20240930,20241106,WOLFSPEED INC,COM,977852102,10,1,SH,,SOLE,SRS Capital Advisors,0,0,1
1784450,"Marcum Wealth, LLC",20240630,20240702,WOLFSPEED INC,NOTE 1.875%12/0,977852AD4,13775,25000,PRN,,SOLE,0,0,0,25000
1446179,"SUSQUEHANNA FUNDAMENTAL INVESTMENTS, LLC",20240331,20240507,WOLFSPEED INC,COM,977852102,1511197,51227,SH,,DFND,9,51227,0,0
1629996,Alken Asset Management Ltd,20240930,20241011,Wolfspeed 0.250 15-Fe,US DOMESTIC,977852AB8,607,1550,PRN,,SOLE,,0,150,1400
815917,JONES FINANCIAL COMPANIES LLLP,20240930,20241112,WOLFSPEED INC,COMMON STOCK,977852102,2911,286,SH,,SOLE,1,286,0,0
1827844,"TFC Financial Management, Inc.",20231231,20240125,WOLFSPEED INC,COM,977852102,436,10,SH,,SOLE,,0,0,10
1904425,"Cassady Schiller Wealth Management, LLC",20240930,20241106,WOLFSPEED INC,COM,977852102,2571,265,SH,,SOLE,,0,0,265
1081407,GABELLI FUNDS LLC,20240630,20240813,WOLFSPEED INC 1.875 12/01/29 CVT,BOND CONVERTIBLE,977852AD4,5297960,9500000,PRN,,SOLE,,9500000,0,0
