doc_type,company_name,filing_date,name,lei,title,cusip,identifiers_otherDesc,identifiers_value,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerConditional_desc,issuerConditional_issuerCat,invCountry,isRestrictedSec,fairValLevel,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,descRefInstrmnt_issuerName,descRefInstrmnt_issueTitle,descRefInstrmnt_otherDesc,descRefInstrmnt_otherValue,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,unrealizedAppr,isCashCollateral,isNonCashCollateral,isLoanByFund,estSharesLoaned
NPORT-P,"AB BOND FUND, INC.",2024-09-25,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,20389.0,NS,USD,384332.65,0.053844269254,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,19049.0
NPORT-P,ADVANCED SERIES TRUST,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,3791.0,NS,USD,86283.16,0.000586054604,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,3600.0
NPORT-P,ADVANCED SERIES TRUST,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,14689.0,NS,USD,334321.64,0.011334829308,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,4400.0
NPORT-P,ADVANCED SERIES TRUST,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,24314.0,NS,USD,553386.64,0.003967814492,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,23000.0
NPORT-P,ADVENT CONVERTIBLE & INCOME FUND,2024-09-26,WOLFSPEED INC,549300OGU88P3AW3TO93,"Wolfspeed, Inc.",225447AD3,,,1433000.0,PA,USD,1238112.0,0.291477511881,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,ADVENT CONVERTIBLE & INCOME FUND,2024-09-26,WOLFSPEED INC,549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852AD4,,,1027000.0,PA,USD,520112.95,0.122445488423,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AGF Investments Trust,2024-08-23,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,,,-39015.0,NS,USD,-887981.4,-0.35579579184,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AIM GROWTH SERIES (INVESCO GROWTH SERIES),2024-08-29,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc., Conv.",225447AD3,,,4000000.0,PA,USD,3570000.0,0.472836258395,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,ALGER FUNDS II,2024-09-26,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,-13460.0,NS,USD,-253721.0,-0.11999801692,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024-08-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC,977852AD4,,,60000.0,PA,USD,33277.44,0.022297113241,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
