doc_type,company_name,filing_date,name,lei,title,cusip,identifiers_otherDesc,identifiers_value,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerConditional_desc,issuerConditional_issuerCat,invCountry,isRestrictedSec,fairValLevel,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,descRefInstrmnt_issuerName,descRefInstrmnt_issueTitle,descRefInstrmnt_otherDesc,descRefInstrmnt_otherValue,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,unrealizedAppr,isCashCollateral,isNonCashCollateral,isLoanByFund,estSharesLoaned
NPORT-P,"AB BOND FUND, INC.",2024-09-25,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,20389.00000000,NS,USD,384332.65000000,0.053844269254,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,Y,19049
NPORT-P,ADVANCED SERIES TRUST,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,3791.00000000,NS,USD,86283.16000000,0.000586054604,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,Y,3600
NPORT-P,ADVANCED SERIES TRUST,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,14689.00000000,NS,USD,334321.64000000,0.011334829308,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,Y,4400
NPORT-P,ADVANCED SERIES TRUST,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,24314.00000000,NS,USD,553386.64000000,0.003967814492,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,Y,23000
NPORT-P,ALPS ETF Trust,2024-07-30,Wolfspeed Inc,549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,284081.00000000,NS,USD,7300881.70000000,3.413229253326,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,Y,245287
NPORT-P,AMERICAN CENTURY ETF TRUST,2024-07-23,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,BMBVND9,83.0000000000,NS,USD,2133.1000000000,0.0007663876,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,Y,62
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-08-28,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,WOLF,12732.000000000000,NS,USD,289780.320000000000,0.0151795786,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,0
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-08-28,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,WOLF,468848.000000000000,NS,USD,10670980.480000000000,0.3492521041,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,0
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-08-28,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,WOLF,2041003.000000000000,NS,USD,46453228.280000000000,0.1059050307,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,0
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-08-28,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,WOLF,120200.000000000000,NS,USD,2735752.000000000000,0.0766774980,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,0
