doc_type,company_name,filing_date,name,lei,title,cusip,identifiers_otherDesc,identifiers_value,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerConditional_desc,issuerConditional_issuerCat,invCountry,isRestrictedSec,fairValLevel,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,descRefInstrmnt_issuerName,descRefInstrmnt_issueTitle,descRefInstrmnt_otherDesc,descRefInstrmnt_otherValue,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,unrealizedAppr,isCashCollateral,isNonCashCollateral,isLoanByFund
NPORT-P,"AB BOND FUND, INC.",2024-09-25,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,20389.00000000,NS,USD,384332.65000000,0.053844269254,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,ADVANCED SERIES TRUST,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,3791.00000000,NS,USD,86283.16000000,0.000586054604,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,ADVANCED SERIES TRUST,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,14689.00000000,NS,USD,334321.64000000,0.011334829308,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,ADVANCED SERIES TRUST,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,24314.00000000,NS,USD,553386.64000000,0.003967814492,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,ADVENT CONVERTIBLE & INCOME FUND,2024-09-26,WOLFSPEED INC,549300OGU88P3AW3TO93,"Wolfspeed, Inc.",225447AD3,N/A,N/A,1433000.00000000,PA,USD,1238112.00000000,0.291477511881,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ADVENT CONVERTIBLE & INCOME FUND,2024-09-26,WOLFSPEED INC,549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852AD4,N/A,N/A,1027000.00000000,PA,USD,520112.95000000,0.122445488423,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AGF Investments Trust,2024-08-23,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,-39015.00000000,NS,USD,-887981.40000000,-0.35579579184,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AIM GROWTH SERIES (INVESCO GROWTH SERIES),2024-08-29,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc., Conv.",225447AD3,N/A,N/A,4000000.00000000,PA,USD,3570000.00000000,0.472836258395,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ALGER FUNDS II,2024-09-26,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,-13460.00000000,NS,USD,-253721.00000000,-0.11999801692,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024-08-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC,977852AD4,N/A,N/A,60000.00000000,PA,USD,33277.44000000,0.022297113241,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024-08-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,23902.00000000,NS,USD,544009.52000000,0.107922152387,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024-08-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,4106.00000000,NS,USD,93452.56000000,0.014397636135,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024-08-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC,977852AD4,N/A,N/A,336000.00000000,PA,USD,186353.66000000,0.012225224847,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024-08-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,1807.00000000,NS,USD,41127.32000000,0.004798523013,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ALPS ETF Trust,2024-07-30,Wolfspeed Inc,549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,284081.00000000,NS,USD,7300881.70000000,3.413229253326,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
