company_name,quarter,asset_category,balance,position_change
"AB BOND FUND, INC.",2024Q3,Other,20389.0,
ADVANCED SERIES TRUST,2024Q3,Other,3791.0,
ADVANCED SERIES TRUST,2024Q3,Other,14689.0,10898.0
ADVANCED SERIES TRUST,2024Q3,Other,24314.0,9625.0
ADVENT CONVERTIBLE & INCOME FUND,2024Q3,Other,1433000.0,
ADVENT CONVERTIBLE & INCOME FUND,2024Q3,Other,1027000.0,
AGF Investments Trust,2024Q3,Other,-39015.0,
AIM GROWTH SERIES (INVESCO GROWTH SERIES),2024Q3,Other,4000000.0,
ALGER FUNDS II,2024Q3,Other,-13460.0,
ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024Q3,Other,60000.0,
ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024Q3,Other,23902.0,
ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024Q3,Other,4106.0,-19796.0
ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024Q3,Other,336000.0,276000.0
ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024Q3,Other,1807.0,-2299.0
ALPS ETF Trust,2024Q3,Other,284081.0,
AMERICAN CENTURY ETF TRUST,2024Q3,Other,83.0,
AMERICAN FUNDS FUNDAMENTAL INVESTORS,2024Q3,Other,4493283.0,
AMERICAN FUNDS INSURANCE SERIES,2024Q3,Other,12732.0,
AMERICAN FUNDS INSURANCE SERIES,2024Q3,Other,468848.0,456116.0
AMERICAN FUNDS INSURANCE SERIES,2024Q3,Other,2041003.0,1572155.0
AMERICAN FUNDS INSURANCE SERIES,2024Q3,Other,120200.0,-1920803.0
AMG Funds I,2024Q3,Other,3891.0,
AQR Funds,2024Q3,Other,-180320.0,
AQR Funds,2024Q3,Other,-19989.0,160331.0
AQR Funds,2024Q3,Other,-15843.0,4146.0
AQR Funds,2024Q3,Other,2614000.0,
AQR Funds,2024Q3,Other,-43657.0,-27814.0
AQR Funds,2024Q3,Other,-220211.0,-176554.0
AQR Funds,2024Q3,Other,-68279.0,151932.0
ARTISAN PARTNERS FUNDS INC,2024Q3,Other,1868704.0,
AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND INC,2024Q3,Shares,772.0,
AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND INC,2024Q3,Shares,24644.0,23872.0
Adviser Managed Trust,2024Q3,Shares,738.0,
AdvisorShares Trust,2024Q3,Other,-30000.0,
Advisors' Inner Circle Fund III,2024Q3,Shares,467.0,
BANCROFT FUND LTD,2024Q3,Other,3125000.0,
BLACKROCK FUNDS,2024Q3,Other,2520.0,
BLACKROCK FUNDS,2024Q3,Other,8227.0,5707.0
BLACKROCK FUNDS,2024Q3,Other,11917.0,3690.0
BLACKROCK FUNDS,2024Q3,Other,22234.0,10317.0
BNY MELLON INVESTMENT PORTFOLIOS,2024Q3,Other,520.0,
"BNY MELLON MIDCAP INDEX FUND, INC.",2024Q3,Other,71895.0,
BNY Mellon ETF Trust,2024Q3,Other,7495.0,
BlackRock ETF Trust,2024Q3,Other,34.0,
Blackstone Alternative Investment Funds,2024Q3,Other,400.0,
